,MASTER FILE NUMBER,INVESTIGATING AGENCY,LOCAL CODE,COLLISION STATUS CODE,COUNTY NAME,ROADWAY NUMBER,BLOCK/HOUSE #,ROADWAY NAME,ROADWAY SUFFIX,ROADWAY DIRECTION CODE,GPS LATITUDE DECIMAL,GPS LONGITUDE DECIMAL,MILEPOINT DERIVED,COLLISION DATE,COLLISION TIME,INTERSECTION ROADWAY #,INTERSECTION ROADWAY NAME,INTERSECTION ROADWAY SFX,BETWEEN STREET ROADWAY # 1,BETWEEN STREET ROADWAY NAME 1,BETWEEN STREET ROADWAY SFX 1,BETWEEN STREET ROADWAY # 2,BETWEEN STREET ROADWAY NAME 2,BETWEEN STREET ROADWAY SFX 2,UNITS INVOLVED,MOTOR VEHICLES INVOLVED,KILLED,INJURED,WEATHER CODE,WEATHER,ROADWAY CONDITION CODE,ROADWAY CONDITION,HIT & RUN INDICATOR,ROADWAY TYPE CODE,ROADWAY TYPE,DIRECTIONAL ANALYSIS CODE,DIRECTIONAL ANALYSIS,MANNER OF COLLISION CODE,MANNER OF COLLISION,ROADWAY CHARACTER CODE,ROADWAY CHARACTER,LIGHT CONDITION CODE,LIGHT CONDITION,RAMP FROM ROADWAY ID,RAMP TO ROADWAY ID,SECONDARY COLLISION INDICATOR,hour,minute,Date,Latitude,Longitude,geometry,index_right
5344,70826850,LOUISVILLE METRO POLICE DEPT,8010017335,AC,56,,,UPPER HUNTERS,TRCE ,,38.1669122,-85.8409812,0.705,3/11/2010,1904,,WEBER,LN   ,,,,,,,2,1,0,0,3.0,CLOUDY,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,3.0,CURVE & LEVEL,6.0,DARK-HWY NOT LIGHTED,,,N,19,04,2010-03-11 19:04:00,38.1669122,-85.8409812,POINT (-85.8409812 38.1669122),0
5541,70827614,LOUISVILLE METRO POLICE DEPT,8010017492,AC,56,,,BROOK,ST   ,S ,38.2207713,-85.7562117,1.354,3/12/2010,1233,,,,,CARDINAL,BLVD ,,BLOOM,ST   ,2,1,0,0,6.0,RAINING,5.0,WET,N,5.0,LOCAL STREET,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,3.0,CURVE & LEVEL,2.0,DAYLIGHT,,,N,12,33,2010-03-12 12:33:00,38.2207713,-85.7562117,POINT (-85.75621169999999 38.2207713),0
5939,70829072,LOUISVILLE METRO POLICE DEPT,8010019552,AC,56,,,GRASTON,AVE  ,,38.170692,-85.8354382,0.368,3/19/2010,2007,,,,,ELMORE,ST   ,,LAMAR,AVE  ,2,1,0,1,2.0,CLEAR,1.0,DRY,N,1.0,COUNTY ROAD,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,3.0,DUSK,,,N,20,07,2010-03-19 20:07:00,38.170692,-85.8354382,POINT (-85.8354382 38.170692),0
6045,70829615,LOUISVILLE METRO POLICE DEPT,8010015691,RE,56,,,PEE WEE REESE,RD   ,,38.2461358,-85.6646854,2.116,2/5/2010,1820,,,,,WILLIS,AVE  ,KY2048,CANNONS,LN   ,2,1,0,0,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,18,20,2010-02-05 18:20:00,38.2461358,-85.6646854,POINT (-85.6646854 38.2461358),0
6111,70830468,LOUISVILLE METRO POLICE DEPT,8010020134,AC,56,,,HANCOCK,ST   ,S ,38.25022,-85.7426599,0.333,3/22/2010,1010,,MARSHALL,ST   ,,,,,,,2,1,0,1,3.0,CLOUDY,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,10,10,2010-03-22 10:10:00,38.25022,-85.7426599,POINT (-85.74265990000001 38.25022),0
6299,70831959,LOUISVILLE METRO POLICE DEPT,8010021184,AC,56,,,ROY WILKINS,AVE  ,,38.2563041,-85.765701,0.098,3/25/2010,2200,I 0064  ,I64 E EXIT4 ON RAMP FROM N 9TH ST,,,,,,,,2,1,0,1,6.0,RAINING,5.0,WET,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,5.0,DARK-HWY LIGHTED/ON,,,N,22,00,2010-03-25 22:00:00,38.2563041,-85.765701,POINT (-85.76570100000001 38.2563041),0
6855,70841237,LOUISVILLE METRO POLICE DEPT,8010019938,AC,56,,,MCCREADY,AVE  ,,38.2542832,-85.6747769,0.004,3/21/2010,1445,US0060  ,FRANKFORT,AVE  ,,,,,,,2,1,0,0,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,14,45,2010-03-21 14:45:00,38.2542832,-85.6747769,POINT (-85.6747769 38.2542832),0
7004,1186015,LOUISVILLE METRO POLICE DEPT,8010032500,AC,56,,,NORTHEWSTERN,PKWY ,,38.27405,-85.790516667,,5/3/2010,00004,,27TH,ST   ,,,,,,,2,1,0,0,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,8.0,SIDESWIPE-SAME DIRECTION,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,,00,00,2010-05-03 00:00:00,38.27405,-85.790516667,POINT (-85.79051666700001 38.27405),0
7224,1472631,LOUISVILLE METRO POLICE DEPT,8010032508,AC,56,,,ARLING,AVE  ,,38.17335,-85.7828,,5/3/2010,1834,,,,,TAYLOR,BLVD ,,WHITMORE,AVE  ,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,37.0,COLLISION WITH BICYCLIST,1.0,ANGLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,,18,34,2010-05-03 18:34:00,38.17335,-85.7828,POINT (-85.78279999999999 38.17335),0
7305,1925642,LOUISVILLE METRO POLICE DEPT,8010042712,AC,56,,,HERB,,,38.1989,-85.659783333,,6/7/2010,1631,,DOREEN,WAY  ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,1.0,ANGLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,,16,31,2010-06-07 16:31:00,38.1989,-85.659783333,POINT (-85.65978333299999 38.1989),0
7437,1929884,LOUISVILLE METRO POLICE DEPT,8010049692,AC,56,,,GRINSTEAD,AVE  ,,38.2375,-85.717166667,,7/1/2010,0150,,,,,EVERETT,AVE  ,,HILLIARD,AVE  ,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,37.0,COLLISION WITH BICYCLIST,3.0,HEAD ON,3.0,CURVE & LEVEL,5.0,DARK-HWY LIGHTED/ON,,,,01,50,2010-07-01 01:50:00,38.2375,-85.717166667,POINT (-85.717166667 38.2375),0
7546,70833772,LOUISVILLE METRO POLICE DEPT,8010023331,AC,56,KY2051  ,,CAMP GROUND,RD   ,,38.203094,-85.8534727,4.141,4/2/2010,0447,,,,,,,,,,2,1,1,0,3.0,CLOUDY,1.0,DRY,N,7.0,STATE,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,6.0,DARK-HWY NOT LIGHTED,,,N,04,47,2010-04-02 04:47:00,38.203094,-85.8534727,POINT (-85.8534727 38.203094),0
7547,70833773,LOUISVILLE METRO POLICE DEPT,8010023340,AC,56,US0150  ,,BROADWAY,,E ,38.2446508,-85.7387278,3.447,4/2/2010,0820,,,,KY0864  ,SHELBY,ST   ,,LOGAN,ST   ,2,1,0,1,2.0,CLEAR,1.0,DRY,N,2.0,FEDERAL,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,08,20,2010-04-02 08:20:00,38.2446508,-85.7387278,POINT (-85.73872780000001 38.2446508),0
7688,70835005,LOUISVILLE METRO POLICE DEPT,8010024240,AC,56,US0031E ,,BARDSTOWN,RD   ,,38.2351016,-85.7149059,15.019,4/5/2010,1701,,,,,,,,,,2,1,0,0,2.0,CLEAR,1.0,DRY,N,2.0,FEDERAL,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,17,01,2010-04-05 17:01:00,38.2351016,-85.7149059,POINT (-85.71490590000001 38.2351016),0
7753,70835172,LOUISVILLE METRO POLICE DEPT,8010024451,AC,56,,,BARRET,AVE  ,,38.2357326,-85.7276512,1.01,4/6/2010,1325,,WINTER,AVE  ,,,,,,,2,1,0,0,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,13,25,2010-04-06 13:25:00,38.2357326,-85.7276512,POINT (-85.7276512 38.2357326),0
7837,70835611,ST. MATTHEWS POLICE DEPARTMENT,100564    ,AC,56,,,FAIRLAWN,RD   ,,38.2538802,-85.6680746,0.0,4/7/2010,1000,US0060  ,FRANKFORT,AVE  ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,3.0,DUSK,,,N,10,00,2010-04-07 10:00:00,38.2538802,-85.6680746,POINT (-85.6680746 38.2538802),0
8155,70837800,LOUISVILLE METRO POLICE DEPT,8010026102,AC,56,KY1631  ,,CRITTENDEN,DR   ,,38.2053636,-85.7508102,1.202,4/12/2010,1600,I 0065  ,I65 S EXIT132 OFF RAMP TO CRITTENDEN DR,,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,Y,7.0,STATE,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,16,00,2010-04-12 16:00:00,38.2053636,-85.7508102,POINT (-85.7508102 38.2053636),0
8407,70838912,LOUISVILLE METRO POLICE DEPT,8010027182,AC,56,US0031E ,,BARDSTOWN,RD   ,,38.231627,-85.7081335,14.56,4/15/2010,2200,,SHERWOOD,AVE  ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,2.0,FEDERAL,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,1.0,DAWN,,,N,22,00,2010-04-15 22:00:00,38.231627,-85.7081335,POINT (-85.7081335 38.231627),0
8956,70842649,LOUISVILLE METRO POLICE DEPT,8010029167,AC,56,KY2053  ,,MT WASHINGTON,RD   ,,38.0924847,-85.6664736,0.159,4/22/2010,1535,,,,,MAPLE,WAY  ,,STANDIFORD PLAZA,DR   ,2,1,0,1,2.0,CLEAR,1.0,DRY,N,7.0,STATE,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,15,35,2010-04-22 15:35:00,38.0924847,-85.6664736,POINT (-85.6664736 38.0924847),0
9402,70844130,LOUISVILLE METRO POLICE DEPT,8010030998,AC,56,,,GATHWRIGHT,DR   ,,38.1903297,-85.6635947,0.131,4/28/2010,1950,,ALLEN,AVE  ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,19,50,2010-04-28 19:50:00,38.1903297,-85.6635947,POINT (-85.6635947 38.1903297),0
9403,70844131,LOUISVILLE METRO POLICE DEPT,8010031019,AC,56,,,ELEANOR,AVE  ,,38.2254164,-85.6864031,0.347,4/28/2010,2130,,WROCKLAGE,AVE  ,,,,,,,2,1,0,0,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,6.0,DARK-HWY NOT LIGHTED,,,N,21,30,2010-04-28 21:30:00,38.2254164,-85.6864031,POINT (-85.68640310000001 38.2254164),0
9660,70845340,LOUISVILLE METRO POLICE DEPT,8010031678,AC,56,,,CHESTNUT,ST   ,W ,38.2527137,-85.7917731,0.502,5/1/2010,0355,,24TH,ST   ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,5.0,DARK-HWY LIGHTED/ON,,,N,03,55,2010-05-01 03:55:00,38.2527137,-85.7917731,POINT (-85.7917731 38.2527137),0
9824,70846232,LOUISVILLE METRO POLICE DEPT,8010031749,AC,56,,,ST LOUIS,AVE  ,,38.2336912,-85.7908859,0.238,5/2/2010,1005,US0031W ,22ND,ST   ,,,,,,,2,1,0,1,6.0,RAINING,5.0,WET,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,10,05,2010-05-02 10:05:00,38.2336912,-85.7908859,POINT (-85.79088590000001 38.2336912),0
9852,70846108,LOUISVILLE METRO POLICE DEPT,8010032398,AC,56,,,KINGSTON,AVE  ,E ,38.1738964,-85.7585396,0.33,4/29/2010,1600,,,,,SOUTHLAND,BLVD ,,WABASH,PL   ,2,1,0,0,2.0,CLEAR,1.0,DRY,Y,5.0,LOCAL STREET,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,3.0,CURVE & LEVEL,2.0,DAYLIGHT,,,N,16,00,2010-04-29 16:00:00,38.1738964,-85.7585396,POINT (-85.75853960000001 38.1738964),0
9882,70846368,LOUISVILLE METRO POLICE DEPT,8010032683,AC,56,,,LOCUST,LN   ,,38.2068938,-85.7375573,0.14,5/4/2010,1304,KY0061  ,PRESTON,HWY  ,,,,,,,2,1,0,0,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,13,04,2010-05-04 13:04:00,38.2068938,-85.7375573,POINT (-85.73755730000001 38.2068938),0
10009,70847596,LOUISVILLE METRO POLICE DEPT,8010032856,AC,56,KY1747  ,,FERN VALLEY,RD   ,,38.1576026,-85.7271921,0.266,5/4/2010,2239,,,,,FERN GRADE,RD   ,,BEANBLOSSOM,RD   ,2,1,0,1,2.0,CLEAR,1.0,DRY,N,7.0,STATE,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,6.0,DARK-HWY NOT LIGHTED,,,N,22,39,2010-05-04 22:39:00,38.1576026,-85.7271921,POINT (-85.7271921 38.1576026),0
10128,70847650,LOUISVILLE METRO POLICE DEPT,8010033239,AC,56,,,OAK,ST   ,E ,38.2341948,-85.7474846,0.429,5/6/2010,0753,KY0061  ,JACKSON,ST   ,,,,,,,2,1,0,0,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,07,53,2010-05-06 07:53:00,38.2341948,-85.7474846,POINT (-85.74748460000001 38.2341948),0
10225,70848985,LOUISVILLE METRO POLICE DEPT,8010033011,AC,56,,,GRINSTEAD,DR   ,,38.2377977,-85.7223729,0.086,5/5/2010,1441,KY1703  ,BAXTER,AVE  ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,1.0,CURVE & GRADE,2.0,DAYLIGHT,,,N,14,41,2010-05-05 14:41:00,38.2377977,-85.7223729,POINT (-85.7223729 38.2377977),0
10647,70850850,SHIVELY POLICE DEPARTMENT,0410000786,AC,56,US0031W ,,DIXIE,HWY  ,,38.1970461,-85.8047443,15.726,5/9/2010,1605,,,,,NOBEL,PL   ,,NOBEL,PL   ,2,1,0,0,2.0,CLEAR,1.0,DRY,N,2.0,FEDERAL,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,16,05,2010-05-09 16:05:00,38.1970461,-85.8047443,POINT (-85.8047443 38.1970461),0
10790,70851410,LOUISVILLE METRO POLICE DEPT,8010035961,AC,56,KY1020  ,,2ND,ST   ,S ,38.2402,-85.7560366,11.708,5/15/2010,1258,,,,,KENTUCKY,ST   ,,BRECKINRIDGE,ST   ,2,1,0,1,3.0,CLOUDY,1.0,DRY,N,7.0,STATE,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,12,58,2010-05-15 12:58:00,38.2402,-85.7560366,POINT (-85.7560366 38.2402),0
10952,70852279,LOUISVILLE METRO POLICE DEPT,8010036851,AC,56,,,JEFFERSON,ST   ,W ,38.2560212,-85.7768609,1.362,5/18/2010,1639,,16TH,ST   ,,,,,,,2,1,0,1,3.0,CLOUDY,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,16,39,2010-05-18 16:39:00,38.2560212,-85.7768609,POINT (-85.7768609 38.2560212),0
11178,70853337,LOUISVILLE METRO POLICE DEPT,8010037703,AC,56,KY0061  ,,PRESTON,HWY  ,,38.1373726,-85.685877,3.871,5/21/2010,1145,,,,,OKOLONA,TER  ,KY1065,OUTER LOOP,,2,1,0,0,3.0,CLOUDY,1.0,DRY,N,7.0,STATE,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,11,45,2010-05-21 11:45:00,38.1373726,-85.685877,POINT (-85.685877 38.1373726),0
11188,70853838,LOUISVILLE METRO POLICE DEPT,8010036031,AC,56,KY1020  ,,2ND,ST   ,S ,38.2458782,-85.7550195,12.099,5/15/2010,1745,US0150  ,BROADWAY,,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,7.0,STATE,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,17,45,2010-05-15 17:45:00,38.2458782,-85.7550195,POINT (-85.7550195 38.2458782),0
11517,70855424,LOUISVILLE METRO POLICE DEPT,8010037454,AC,56,,,7TH,ST   ,S ,38.2517294,-85.7625336,2.427,5/20/2010,1404,,MUHAMMAD ALI,BLVD ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,Y,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,14,04,2010-05-20 14:04:00,38.2517294,-85.7625336,POINT (-85.7625336 38.2517294),0
11878,70856971,LOUISVILLE METRO POLICE DEPT,8010040498,AC,56,KY1865  ,,TAYLOR,BLVD ,,38.1698164,-85.7812372,4.343,5/31/2010,1030,,SOUTHERN,PKWY ,,,,,,,2,1,0,1,3.0,CLOUDY,1.0,DRY,N,7.0,STATE,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,10,30,2010-05-31 10:30:00,38.1698164,-85.7812372,POINT (-85.78123720000001 38.1698164),0
12062,70858071,LOUISVILLE METRO POLICE DEPT,8010041265,AC,56,,,4TH,ST   ,S ,38.2048287,-85.7656187,3.608,6/2/2010,1738,,,,,CENTRAL,AVE  ,,OAKDALE,AVE  ,2,1,0,0,3.0,CLOUDY,1.0,DRY,N,5.0,LOCAL STREET,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,3.0,DUSK,,,N,17,38,2010-06-02 17:38:00,38.2048287,-85.7656187,POINT (-85.7656187 38.2048287),0
