master_file_number,investigating_agency,local_code,roadway_number,building_number,roadway_name,roadway_suffix,roadway_direction,milepoint,intersection_roadway_number,intersection_roadway_name,intersection_roadway_suffix,between_street_number_1,between_street_name_1,between_street_suffix_1,between_street_number_2,between_street_name_2,between_street_suffix_2,units_involved,motor_vehicles_involved,killed,injured,weather,roadway_condition,hit_and_run,roadway_type,directional_analysis,manner_of_collision,roadway_character,light_condition,secondary_collision,date,latitude,longitude,injury_indicator,fatality_indicator,day_of_week
70826088,LOUISVILLE METRO POLICE DEPT,8010017019,,,PARK BOUNDARY,RD,,0.0,,BARRET HILL,RD   ,,,,,,,2,1,0,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,CURVE & GRADE,DAYLIGHT,False,2010-03-10 17:10:00-05:00,38.2361411,-85.6889871,True,False,WEDNESDAY
70826850,LOUISVILLE METRO POLICE DEPT,8010017335,,,UPPER HUNTERS,TRCE,,0.705,,WEBER,LN   ,,,,,,,2,1,0,0,CLOUDY,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,CURVE & LEVEL,DARK-HWY NOT LIGHTED,False,2010-03-11 19:04:00-05:00,38.1669122,-85.8409812,False,False,THURSDAY
70827614,LOUISVILLE METRO POLICE DEPT,8010017492,,,BROOK,ST,S,1.354,,,,,CARDINAL,BLVD ,,BLOOM,ST   ,2,1,0,0,RAINING,WET,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,False,2010-03-12 12:33:00-05:00,38.2207713,-85.7562117,False,False,FRIDAY
70829072,LOUISVILLE METRO POLICE DEPT,8010019552,,,GRASTON,AVE,,0.368,,,,,ELMORE,ST   ,,LAMAR,AVE  ,2,1,0,1,CLEAR,DRY,False,COUNTY ROAD,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DUSK,False,2010-03-19 20:07:00-04:00,38.170692,-85.8354382,True,False,FRIDAY
70829615,LOUISVILLE METRO POLICE DEPT,8010015691,,,PEE WEE REESE,RD,,2.116,,,,,WILLIS,AVE  ,KY2048,CANNONS,LN   ,2,1,0,0,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-02-05 18:20:00-05:00,38.2461358,-85.6646854,False,False,FRIDAY
70830468,LOUISVILLE METRO POLICE DEPT,8010020134,,,HANCOCK,ST,S,0.333,,MARSHALL,ST   ,,,,,,,2,1,0,1,CLOUDY,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-03-22 10:10:00-04:00,38.25022,-85.7426599,True,False,MONDAY
70831959,LOUISVILLE METRO POLICE DEPT,8010021184,,,ROY WILKINS,AVE,,0.098,I 0064,I64 E EXIT4 ON RAMP FROM N 9TH ST,,,,,,,,2,1,0,1,RAINING,WET,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,2010-03-25 22:00:00-04:00,38.2563041,-85.765701,True,False,THURSDAY
70841237,LOUISVILLE METRO POLICE DEPT,8010019938,,,MCCREADY,AVE,,0.004,US0060,FRANKFORT,AVE  ,,,,,,,2,1,0,0,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-03-21 14:45:00-04:00,38.2542832,-85.6747769,False,False,SUNDAY
1186015,LOUISVILLE METRO POLICE DEPT,8010032500,,,NORTHEWSTERN,PKWY,,,,27TH,ST   ,,,,,,,2,1,0,0,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,False,2010-05-03 00:00:00-04:00,38.27405,-85.790516667,False,False,MONDAY
1472631,LOUISVILLE METRO POLICE DEPT,8010032508,,,ARLING,AVE,,,,,,,TAYLOR,BLVD ,,WHITMORE,AVE  ,2,1,0,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-05-03 18:34:00-04:00,38.17335,-85.7828,True,False,MONDAY
1925642,LOUISVILLE METRO POLICE DEPT,8010042712,,,HERB,,,,,DOREEN,WAY  ,,,,,,,2,1,0,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-06-07 16:31:00-04:00,38.1989,-85.659783333,True,False,MONDAY
1929884,LOUISVILLE METRO POLICE DEPT,8010049692,,,GRINSTEAD,AVE,,,,,,,EVERETT,AVE  ,,HILLIARD,AVE  ,2,1,0,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,HEAD ON,CURVE & LEVEL,DARK-HWY LIGHTED/ON,False,2010-07-01 01:50:00-04:00,38.2375,-85.717166667,True,False,THURSDAY
70833772,LOUISVILLE METRO POLICE DEPT,8010023331,KY2051,,CAMP GROUND,RD,,4.141,,,,,,,,,,2,1,1,0,CLOUDY,DRY,False,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,False,2010-04-02 04:47:00-04:00,38.203094,-85.8534727,False,True,FRIDAY
70833773,LOUISVILLE METRO POLICE DEPT,8010023340,US0150,,BROADWAY,,E,3.447,,,,KY0864  ,SHELBY,ST   ,,LOGAN,ST   ,2,1,0,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-04-02 08:20:00-04:00,38.2446508,-85.7387278,True,False,FRIDAY
70835005,LOUISVILLE METRO POLICE DEPT,8010024240,US0031E,,BARDSTOWN,RD,,15.019,,,,,,,,,,2,1,0,0,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-04-05 17:01:00-04:00,38.2351016,-85.7149059,False,False,MONDAY
70835172,LOUISVILLE METRO POLICE DEPT,8010024451,,,BARRET,AVE,,1.01,,WINTER,AVE  ,,,,,,,2,1,0,0,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-04-06 13:25:00-04:00,38.2357326,-85.7276512,False,False,TUESDAY
70835611,ST. MATTHEWS POLICE DEPARTMENT,100564    ,,,FAIRLAWN,RD,,0.0,US0060,FRANKFORT,AVE  ,,,,,,,2,1,0,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DUSK,False,2010-04-07 10:00:00-04:00,38.2538802,-85.6680746,True,False,WEDNESDAY
70837800,LOUISVILLE METRO POLICE DEPT,8010026102,KY1631,,CRITTENDEN,DR,,1.202,I 0065,I65 S EXIT132 OFF RAMP TO CRITTENDEN DR,,,,,,,,2,1,0,1,CLEAR,DRY,True,STATE,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-04-12 16:00:00-04:00,38.2053636,-85.7508102,True,False,MONDAY
70838912,LOUISVILLE METRO POLICE DEPT,8010027182,US0031E,,BARDSTOWN,RD,,14.56,,SHERWOOD,AVE  ,,,,,,,2,1,0,1,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAWN,False,2010-04-15 22:00:00-04:00,38.231627,-85.7081335,True,False,THURSDAY
70842649,LOUISVILLE METRO POLICE DEPT,8010029167,KY2053,,MT WASHINGTON,RD,,0.159,,,,,MAPLE,WAY  ,,STANDIFORD PLAZA,DR   ,2,1,0,1,CLEAR,DRY,False,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-04-22 15:35:00-04:00,38.0924847,-85.6664736,True,False,THURSDAY
70844130,LOUISVILLE METRO POLICE DEPT,8010030998,,,GATHWRIGHT,DR,,0.131,,ALLEN,AVE  ,,,,,,,2,1,0,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-04-28 19:50:00-04:00,38.1903297,-85.6635947,True,False,WEDNESDAY
70844131,LOUISVILLE METRO POLICE DEPT,8010031019,,,ELEANOR,AVE,,0.347,,WROCKLAGE,AVE  ,,,,,,,2,1,0,0,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,False,2010-04-28 21:30:00-04:00,38.2254164,-85.6864031,False,False,WEDNESDAY
70845340,LOUISVILLE METRO POLICE DEPT,8010031678,,,CHESTNUT,ST,W,0.502,,24TH,ST   ,,,,,,,2,1,0,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,False,2010-05-01 03:55:00-04:00,38.2527137,-85.7917731,True,False,SATURDAY
70846232,LOUISVILLE METRO POLICE DEPT,8010031749,,,ST LOUIS,AVE,,0.238,US0031W,22ND,ST   ,,,,,,,2,1,0,1,RAINING,WET,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-05-02 10:05:00-04:00,38.2336912,-85.7908859,True,False,SUNDAY
70846108,LOUISVILLE METRO POLICE DEPT,8010032398,,,KINGSTON,AVE,E,0.33,,,,,SOUTHLAND,BLVD ,,WABASH,PL   ,2,1,0,0,CLEAR,DRY,True,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,False,2010-04-29 16:00:00-04:00,38.1738964,-85.7585396,False,False,THURSDAY
70846368,LOUISVILLE METRO POLICE DEPT,8010032683,,,LOCUST,LN,,0.14,KY0061,PRESTON,HWY  ,,,,,,,2,1,0,0,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-05-04 13:04:00-04:00,38.2068938,-85.7375573,False,False,TUESDAY
70847596,LOUISVILLE METRO POLICE DEPT,8010032856,KY1747,,FERN VALLEY,RD,,0.266,,,,,FERN GRADE,RD   ,,BEANBLOSSOM,RD   ,2,1,0,1,CLEAR,DRY,False,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,False,2010-05-04 22:39:00-04:00,38.1576026,-85.7271921,True,False,TUESDAY
70847650,LOUISVILLE METRO POLICE DEPT,8010033239,,,OAK,ST,E,0.429,KY0061,JACKSON,ST   ,,,,,,,2,1,0,0,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-05-06 07:53:00-04:00,38.2341948,-85.7474846,False,False,THURSDAY
70848985,LOUISVILLE METRO POLICE DEPT,8010033011,,,GRINSTEAD,DR,,0.086,KY1703,BAXTER,AVE  ,,,,,,,2,1,0,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,CURVE & GRADE,DAYLIGHT,False,2010-05-05 14:41:00-04:00,38.2377977,-85.7223729,True,False,WEDNESDAY
70850850,SHIVELY POLICE DEPARTMENT,0410000786,US0031W,,DIXIE,HWY,,15.726,,,,,NOBEL,PL   ,,NOBEL,PL   ,2,1,0,0,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-05-09 16:05:00-04:00,38.1970461,-85.8047443,False,False,SUNDAY
70851410,LOUISVILLE METRO POLICE DEPT,8010035961,KY1020,,2ND,ST,S,11.708,,,,,KENTUCKY,ST   ,,BRECKINRIDGE,ST   ,2,1,0,1,CLOUDY,DRY,False,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-05-15 12:58:00-04:00,38.2402,-85.7560366,True,False,SATURDAY
70852279,LOUISVILLE METRO POLICE DEPT,8010036851,,,JEFFERSON,ST,W,1.362,,16TH,ST   ,,,,,,,2,1,0,1,CLOUDY,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-05-18 16:39:00-04:00,38.2560212,-85.7768609,True,False,TUESDAY
70853337,LOUISVILLE METRO POLICE DEPT,8010037703,KY0061,,PRESTON,HWY,,3.871,,,,,OKOLONA,TER  ,KY1065,OUTER LOOP,,2,1,0,0,CLOUDY,DRY,False,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-05-21 11:45:00-04:00,38.1373726,-85.685877,False,False,FRIDAY
70853838,LOUISVILLE METRO POLICE DEPT,8010036031,KY1020,,2ND,ST,S,12.099,US0150,BROADWAY,,,,,,,,2,1,0,1,CLEAR,DRY,False,STATE,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-05-15 17:45:00-04:00,38.2458782,-85.7550195,True,False,SATURDAY
70855424,LOUISVILLE METRO POLICE DEPT,8010037454,,,7TH,ST,S,2.427,,MUHAMMAD ALI,BLVD ,,,,,,,2,1,0,1,CLEAR,DRY,True,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-05-20 14:04:00-04:00,38.2517294,-85.7625336,True,False,THURSDAY
70856971,LOUISVILLE METRO POLICE DEPT,8010040498,KY1865,,TAYLOR,BLVD,,4.343,,SOUTHERN,PKWY ,,,,,,,2,1,0,1,CLOUDY,DRY,False,STATE,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-05-31 10:30:00-04:00,38.1698164,-85.7812372,True,False,MONDAY
70858071,LOUISVILLE METRO POLICE DEPT,8010041265,,,4TH,ST,S,3.608,,,,,CENTRAL,AVE  ,,OAKDALE,AVE  ,2,1,0,0,CLOUDY,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DUSK,False,2010-06-02 17:38:00-04:00,38.2048287,-85.7656187,False,False,WEDNESDAY
70859148,LOUISVILLE METRO POLICE DEPT,8010041665,,,26TH,ST,S,1.031,,HOWARD,ST   ,,,,,,,2,1,0,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-06-03 21:01:00-04:00,38.2458582,-85.7952728,True,False,THURSDAY
70859291,LOUISVILLE METRO POLICE DEPT,8010042447,KY1020,,3RD,ST,S,11.316,,OAK,ST   ,,,,,,,2,1,0,0,CLEAR,DRY,False,STATE,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-06-06 17:45:00-04:00,38.2348631,-85.7586636,False,False,SUNDAY
70860133,LOUISVILLE METRO POLICE DEPT,8010040586,KY1865,,NEW CUT,RD,,1.532,,CANDLELIGHT,LN   ,,,,,,,2,1,0,2,CLEAR,DRY,False,STATE,COLLISION WITH BICYCLE,SINGLE VEHICLE,CURVE & HILLCREST,DAYLIGHT,False,2010-05-31 16:10:00-04:00,38.1297788,-85.7738032,True,False,MONDAY
70860836,LOUISVILLE METRO POLICE DEPT,8010043180,,,7TH,ST,S,2.515,,CEDAR,ST   ,,,,,,,2,1,0,0,RAINING,WET,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAWN,False,2010-06-09 07:49:00-04:00,38.2529832,-85.7622235,False,False,WEDNESDAY
70861762,LOUISVILLE METRO POLICE DEPT,8010043808,,,ORMSBY STATION,RD,,0.0,KY1747,HURSTBOURNE,PKWY ,,,,,,,2,1,0,1,CLOUDY,DRY,False,COUNTY ROAD,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-06-11 08:20:00-04:00,38.2629529,-85.5745787,True,False,FRIDAY
70862690,LOUISVILLE METRO POLICE DEPT,8010043902,US0060,,SHELBYVILLE,RD,,9.898,,,,,MADISON,AVE  ,,OLD HARRODS CREEK,RD   ,2,1,0,0,CLEAR,DRY,False,FEDERAL,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-06-11 15:03:00-04:00,38.2465123,-85.540358,False,False,FRIDAY
70862912,LOUISVILLE METRO POLICE DEPT,8010044279,KY1065,,OUTER LOOP,,,4.943,,,,,,,,,,2,1,0,1,CLEAR,DRY,True,STATE,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & HILLCREST,DARK-HWY NOT LIGHTED,False,2010-06-12 23:04:00-04:00,38.1370585,-85.7065111,True,False,SATURDAY
70862930,LOUISVILLE METRO POLICE DEPT,8010044364,,,GRAFTON HALL,RD,,0.135,,,,KY0907  ,VALLEY STATION,RD   ,,CHURCH,RD   ,2,1,0,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-06-13 10:44:00-04:00,38.1034798,-85.8557275,True,False,SUNDAY
70864072,LOUISVILLE METRO POLICE DEPT,8010044034,,,BANK,ST,,0.293,,,,,41ST,ST   ,,39TH,ST   ,2,1,0,0,CLEAR,DRY,True,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DUSK,False,2010-06-11 20:00:00-04:00,38.2718505,-85.8128929,False,False,FRIDAY
70865224,LOUISVILLE METRO POLICE DEPT,8010046291,,,6TH,ST,S,2.783,,,,,,,,,,2,1,0,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-06-19 16:30:00-04:00,38.2055778,-85.7688124,True,False,SATURDAY
70865837,LOUISVILLE METRO POLICE DEPT,8010046916,,,MUHAMMAD ALI,BLVD,W,0.917,,11TH,ST   ,,,,,,,2,1,0,1,CLEAR,DRY,True,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-06-21 19:02:00-04:00,38.2525027,-85.7691989,True,False,MONDAY
70866646,LOUISVILLE METRO POLICE DEPT,8010047444,,,PATTERSON,AVE,,0.0,US0031E,BARDSTOWN,RD   ,,,,,,,2,1,0,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-06-23 15:10:00-04:00,38.2373731,-85.7190994,True,False,WEDNESDAY
70866639,LOUISVILLE METRO POLICE DEPT,8010047405,,,GOLDSMITH,LN,,0.38,,,,,PEABODY,LN   ,,COLONIAL MANOR,CIR  ,2,1,0,1,CLOUDY,DRY,True,COUNTY ROAD,COLLISION WITH BICYCLIST,SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,False,2010-06-23 11:00:00-04:00,38.2027367,-85.6789852,True,False,WEDNESDAY
70867041,LOUISVILLE METRO POLICE DEPT,8010046774,,2300,DIXIE,HWY,,1.676,,,,,,,,,,2,2,0,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-06-21 11:00:00-04:00,38.2259046,-85.7915663,True,False,MONDAY
70868516,LOUISVILLE METRO POLICE DEPT,8010048942,I 0264,,,,,0.229,I 0264,I264 E EXIT3 OFF RAMP TO HALE AVE,,,,,,,,2,1,0,0,CLEAR,DRY,False,INTERSTATE,COLLISION WITH BICYCLE,SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,False,2010-06-28 10:00:00-04:00,38.2407966,-85.8164946,False,False,MONDAY
70868875,LOUISVILLE METRO POLICE DEPT,8010049256,,,YORK,ST,,0.498,,,,KY1020  ,2ND,ST   ,KY1020,3RD,ST   ,2,1,0,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-06-29 20:01:00-04:00,38.2438758,-85.7562785,True,False,TUESDAY
70872057,LOUISVILLE METRO POLICE DEPT,8010048435,,4303,SHENANDOAH,DR,,0.285,,,,,,,,,,4,3,1,2,CLEAR,DRY,False,COUNTY ROAD,COLLISION WITH BICYCLIST,ANGLE,CURVE & LEVEL,DAYLIGHT,True,2010-06-26 20:03:00-04:00,38.3106061,-85.5552424,True,True,SATURDAY
70931731,LOUISVILLE METRO POLICE DEPT,8010047455,,,CHARLOTTE ANN,DR,,0.068,,TARA GALE,DR   ,,,,,,,2,1,0,1,CLEAR,DRY,True,LOCAL STREET,COLLISION WITH BICYCLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-06-23 15:54:00-04:00,38.1872604,-85.8445811,True,False,WEDNESDAY
47568,LOUISVILLE METRO POLICE DEPT,8010060132,KY1020,,2ND,ST,S,11.608,,KENTUCKY,ST   ,,,,,,,2,1,0,1,CLEAR,DRY,False,STATE,COLLISION WITH BICYCLE,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,False,2010-08-04 13:46:00-04:00,38.2388,-85.756333333,True,False,WEDNESDAY
1177729,LOUISVILLE METRO POLICE DEPT,8010070546,,,HAZELWOOD,,,,,,,,LANCASTER,,,OLD HAZELWOOD,,2,1,0,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-09-08 18:25:00-04:00,38.175983333,-85.79265,True,False,WEDNESDAY
1186095,LOUISVILLE METRO POLICE DEPT,8010052327,,,26TH,ST,S,,,SLEVIN,ST   ,,,,,,,2,1,0,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLE,ANGLE,STRAIGHT & LEVEL,DUSK,False,2010-07-09 21:06:00-04:00,38.259483333,-85.789116667,True,False,FRIDAY
1187876,LOUISVILLE METRO POLICE DEPT,8010052859,,,25TH,ST,S,,,,,,OSAGE,,,GRAND,AVE  ,2,1,0,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,False,2010-07-11 18:16:00-04:00,38.2399,-85.794383333,True,False,SUNDAY
1244085,LOUISVILLE METRO POLICE DEPT,8010076531,,,SCENIC LOOP,,,,,,,,BARRET HILL,RD   ,,BEARGRASS,RD   ,2,1,0,1,CLEAR,DRY,False,LOCAL STREET,COLLISION WITH BICYCLIST,REAR END,CURVE & GRADE,DAYLIGHT,False,2010-09-28 18:46:00-04:00,38.235133333,-85.689966667,True,False,TUESDAY
