X,Y,IncidentID,AgencyName,RdwyNumber,Street,StreetDir,RoadwayName,StreetSfx,OWNER,ROAD_CLASSIFICATION,COUNCIL_DISTRICT,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,DAY_OF_WEEK,CollisionDate,CollisionTime,HOUR_OF_DAY,UnitsInvolved,MotorVehiclesInvolved,MODE,NAME,AGE,GENDER,SEVERITY,LINK,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,IsSecondaryCollision,ObjectId
-85.7683909,38.1683109,17534207,LOUISVILLE METRO POLICE DEPT,,,,GHEENS,AVE,METRO,LOCAL,0,,,,3RD,KY1020,SOUTHSIDE,38.1683109,-85.7683909,0.2,FRIDAY,2016/01/08 06:52:00+00,152,1AM,1,1,MOTOR VEHICLE,UNKNOWN OR NOT AVAILABLE,48,MALE,SUSPECTED SERIOUS INJURY,,CLOUDY,DRY,FALSE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,FALSE,11
-85.7610169,38.2350739,17487504,LOUISVILLE METRO POLICE DEPT,,,W,OAK,ST,METRO,MINOR ARTERIAL,0,,,,4TH,,GARVIN,38.2350739,-85.7610169,0.311,SATURDAY,2016/01/09 22:56:00+00,1756,5PM,2,2,MOTOR VEHICLE,UNKNOWN OR NOT AVAILABLE,45,FEMALE,SUSPECTED SERIOUS INJURY,,RAINING,WET,FALSE,VEHICLE GOING IN WRONG DIRECTION,HEAD ON,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,FALSE,12
-85.6895249,38.1140406,17498603,LOUISVILLE METRO POLICE DEPT,KY1450,,,BLUE LICK,RD,STATE,MINOR ARTERIAL,0,,,,PARK,,FREEDOM,38.1140406,-85.6895249,2.016,SATURDAY,2016/01/09 23:24:00+00,1824,6PM,2,2,MOTOR VEHICLE,UNKNOWN OR NOT AVAILABLE,17,MALE,SUSPECTED SERIOUS INJURY,,RAINING,WET,FALSE,ANGLE COLLISION - ONE VEHICLE TURNING LEFT,ANGLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,FALSE,13
-85.6049425,38.1930336,17493489,LOUISVILLE METRO POLICE DEPT,KY1747,,S,HURSTBOURNE,PKWY,STATE,MAJOR ARTERIAL,0,,RIDGEHURST,,,,,38.1930336,-85.6049425,9.188,SATURDAY,2016/01/10 02:39:00+00,2139,9PM,2,1,PEDESTRIAN,UNKNOWN OR NOT AVAILABLE,65,MALE,FATALITY,,RAINING,WET,FALSE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,FALSE,14
-85.66894,38.092408,17496681,LOUISVILLE METRO POLICE DEPT,KY0061,,,PRESTON,HWY,STATE,MAJOR ARTERIAL,0,,,,,,,38.092408,-85.66894,0.617,SUNDAY,2016/01/10 11:40:00+00,640,6AM,1,1,MOTOR VEHICLE,UNKNOWN OR NOT AVAILABLE,18,FEMALE,SUSPECTED SERIOUS INJURY,,BLOWING SAND/SOIL/DIRT/SNOW,SNOW/SLUSH,FALSE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,FALSE,15
-85.7488312,38.2377629,17529336,LOUISVILLE METRO POLICE DEPT,KY0061,,S,PRESTON,ST,STATE,MINOR ARTERIAL,0,,KENTUCKY,,,,,38.2377629,-85.7488312,11.725,MONDAY,2016/01/12 01:38:00+00,2038,8PM,2,2,MOTOR VEHICLE,UNKNOWN OR NOT AVAILABLE,36,MALE,SUSPECTED SERIOUS INJURY,,CLEAR,DRY,FALSE,ANGLE COLLISION - BOTH VEHICLES GOING STRAIGHT,ANGLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,FALSE,16
-85.6338313,38.2203752,17488104,LOUISVILLE METRO POLICE DEPT,KY0155,3814,,TAYLORSVILLE,RD,STATE,MAJOR ARTERIAL,0,,,,,,,38.2203752,-85.6338313,13.804,TUESDAY,2016/01/12 18:07:00+00,1307,1PM,2,1,PEDESTRIAN,UNKNOWN OR NOT AVAILABLE,49,MALE,SUSPECTED SERIOUS INJURY,,CLEAR,DRY,FALSE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,FALSE,17
-85.7395088,38.2533448,17488411,LOUISVILLE METRO POLICE DEPT,US0031E,,E,MARKET,ST,STATE,MAJOR ARTERIAL,0,,,,CLAY,,SHELBY,38.2533448,-85.7395088,17.017,TUESDAY,2016/01/12 23:11:00+00,1811,6PM,1,1,MOTOR VEHICLE,UNKNOWN OR NOT AVAILABLE,57,MALE,SUSPECTED SERIOUS INJURY,,CLEAR,DRY,FALSE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE,18
-85.5370333,38.1516897,17525000,LOUISVILLE METRO POLICE DEPT,I 0265,,,I-265,,FEDERAL,INTERSTATE,0,,,,,,,38.1516897,-85.5370333,20,WEDNESDAY,2016/01/13 13:42:00+00,842,8AM,6,6,MOTOR VEHICLE,UNKNOWN OR NOT AVAILABLE,37,FEMALE,SUSPECTED SERIOUS INJURY,,CLEAR,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE,19
-85.5139227,38.2644723,18906293,LOUISVILLE METRO POLICE DEPT,KY3084,,,OLD HENRY,RD,STATE,MINOR ARTERIAL,0,,ELITE,,,,,38.2644723,-85.5139227,0.35,WEDNESDAY,2016/01/13 21:46:00+00,1646,4PM,2,2,MOTOR VEHICLE,UNKNOWN OR NOT AVAILABLE,44,FEMALE,SUSPECTED SERIOUS INJURY,,RAINING,WET,FALSE,ANGLE COLLISION - BOTH VEHICLES GOING STRAIGHT,ANGLE,CURVE & HILLCREST,DAYLIGHT,,,FALSE,20
-85.6859074,38.2420914,17526664,LOUISVILLE METRO POLICE DEPT,I 0064,,,I-64,,FEDERAL,INTERSTATE,0,,,,,,,38.2420914,-85.6859074,9,FRIDAY,2016/01/15 20:26:00+00,1526,3PM,3,3,MOTOR VEHICLE,UNKNOWN OR NOT AVAILABLE,35,FEMALE,SUSPECTED SERIOUS INJURY,,RAINING,WET,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE,21
-85.7656382,38.2051853,17497715,LOUISVILLE METRO POLICE DEPT,,,,CENTRAL,AVE,METRO,MINOR ARTERIAL,0,,4TH,,,,,38.2051853,-85.7656382,0.447,SUNDAY,2016/01/17 09:26:00+00,426,4AM,2,2,MOTOR VEHICLE,UNKNOWN OR NOT AVAILABLE,20,MALE,SUSPECTED SERIOUS INJURY,,CLEAR,DRY,FALSE,REAR END - ONE VEHICLE STOPPED,REAR END,STRAIGHT & LEVEL,DUSK,,,FALSE,22
-85.7522813,38.2180217,17497726,LOUISVILLE METRO POLICE DEPT,I 0065,,,I-65,,FEDERAL,INTERSTATE,0,,,,,,,38.2180217,-85.7522813,133.307,SUNDAY,2016/01/17 12:21:00+00,721,7AM,2,2,MOTOR VEHICLE,UNKNOWN OR NOT AVAILABLE,60,MALE,SUSPECTED SERIOUS INJURY,,CLEAR,DRY,FALSE,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),REAR END,STRAIGHT & LEVEL,DUSK,,,FALSE,23
-85.7637119,38.2353745,17526972,LOUISVILLE METRO POLICE DEPT,,,W,OAK,ST,METRO,MINOR ARTERIAL,0,,6TH,,,,,38.2353745,-85.7637119,0.459,MONDAY,2016/01/18 12:57:00+00,757,7AM,2,2,MOTOR VEHICLE,UNKNOWN OR NOT AVAILABLE,39,MALE,SUSPECTED SERIOUS INJURY,,CLEAR,DRY,FALSE,ANGLE COLLISION - BOTH VEHICLES GOING STRAIGHT,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE,24
-85.6563,38.1935567,17548914,LOUISVILLE METRO POLICE DEPT,US0031E,,,BUECHEL,BYP,STATE,MAJOR ARTERIAL,0,,,,,,,38.1935567,-85.6563,10.561,TUESDAY,2016/01/19 13:52:00+00,852,8AM,2,2,MOTOR VEHICLE,UNKNOWN OR NOT AVAILABLE,25,FEMALE,SUSPECTED SERIOUS INJURY,,CLEAR,DRY,FALSE,ANGLE COLLISION - ONE VEHICLE TURNING LEFT,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE,25
-85.7656606,38.2590479,17534368,LOUISVILLE METRO POLICE DEPT,I 0064,,,I-64,,FEDERAL,INTERSTATE,0,,,,,,,38.2590479,-85.7656606,3.801,TUESDAY,2016/01/19 14:59:00+00,959,9AM,2,2,MOTOR VEHICLE,UNKNOWN OR NOT AVAILABLE,31,MALE,FATALITY,,CLEAR,DRY,FALSE,REAR END IN TRAFFIC ONE VEHICLE STOPPED,REAR END,STRAIGHT & GRADE,DAYLIGHT,,,FALSE,26
-85.7777552,38.262137,17534038,LOUISVILLE METRO POLICE DEPT,,,,BANK,ST,METRO,MINOR ARTERIAL,0,,17TH,,,,,38.262137,-85.7777552,0.44,TUESDAY,2016/01/19 15:05:00+00,1005,10AM,1,1,MOTOR VEHICLE,UNKNOWN OR NOT AVAILABLE,64,MALE,SUSPECTED SERIOUS INJURY,,SNOWING,SNOW/SLUSH,FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,,,FALSE,27
-85.7872173,38.2700446,17534041,LOUISVILLE METRO POLICE DEPT,KY3064,,,PORTLAND,AVE,STATE,MINOR ARTERIAL,0,,24TH,,,,,38.2700446,-85.7872173,0.28,TUESDAY,2016/01/19 15:55:00+00,1055,10AM,2,2,MOTOR VEHICLE,UNKNOWN OR NOT AVAILABLE,43,MALE,SUSPECTED SERIOUS INJURY,,CLEAR,DRY,FALSE,ANGLE COLLISION - ONE VEHICLE TURNING LEFT,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE,28
-85.8209313,38.1385867,17517054,LOUISVILLE METRO POLICE DEPT,,,,ARNOLDTOWN,RD,METRO,PRIMARY COLLECTOR,0,,,,HARDWOOD FOREST,,WAVERLY PARK,38.1385867,-85.8209313,0.778,THURSDAY,2016/01/21 17:39:00+00,1239,12PM,3,3,MOTOR VEHICLE,UNKNOWN OR NOT AVAILABLE,59,MALE,SUSPECTED SERIOUS INJURY,,CLOUDY,DRY,FALSE,HEAD-ON COLLISION,HEAD ON,CURVE & GRADE,DAYLIGHT,,,FALSE,29
-85.7536833,38.2225833,17517633,LOUISVILLE METRO POLICE DEPT,,,S,FLOYD,ST,METRO,MINOR ARTERIAL,0,,LEE,,,,,38.2225833,-85.7536833,2.269,THURSDAY,2016/01/21 22:00:00+00,1700,5PM,1,1,MOTOR VEHICLE,UNKNOWN OR NOT AVAILABLE,51,MALE,SUSPECTED SERIOUS INJURY,,CLEAR,DRY,FALSE,COLLISION WITH FIXED OBJECT IN INTERSECTION - FIRST EVENT COLLISION 09 - 32,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE,30
-85.5869127,38.2115986,17508641,JEFFERSONTOWN POLICE DEPT,KY0155,,,TAYLORSVILLE,RD,STATE,MAJOR ARTERIAL,0,,,,SIX MILE,,NARWOOD,38.2115986,-85.5869127,11.038,MONDAY,2016/01/25 05:23:00+00,23,12AM,2,1,PEDESTRIAN,UNKNOWN OR NOT AVAILABLE,23,FEMALE,SUSPECTED SERIOUS INJURY,,CLOUDY,DRY,FALSE,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,CURVE & GRADE,DUSK,,,FALSE,31
-85.7626763,38.1595538,17890002,LOUISVILLE METRO POLICE DEPT,,,,STRAWBERRY,LN,METRO,PRIMARY COLLECTOR,0,,ESTELE,,,,,38.1595538,-85.7626763,0.147,MONDAY,2016/01/25 20:42:00+00,1542,3PM,2,2,MOTOR VEHICLE,UNKNOWN OR NOT AVAILABLE,27,FEMALE,SUSPECTED SERIOUS INJURY,,CLOUDY,WET,FALSE,ANGLE COLLISION - BOTH VEHICLES GOING STRAIGHT,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE,32
-85.7626763,38.1595538,17890002,LOUISVILLE METRO POLICE DEPT,,,,STRAWBERRY,LN,METRO,PRIMARY COLLECTOR,0,,ESTELE,,,,,38.1595538,-85.7626763,0.147,MONDAY,2016/01/25 20:42:00+00,1542,3PM,2,2,MOTOR VEHICLE,UNKNOWN OR NOT AVAILABLE,52,FEMALE,SUSPECTED SERIOUS INJURY,,CLOUDY,WET,FALSE,ANGLE COLLISION - BOTH VEHICLES GOING STRAIGHT,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE,33
-85.7626763,38.1595538,17890002,LOUISVILLE METRO POLICE DEPT,,,,STRAWBERRY,LN,METRO,PRIMARY COLLECTOR,0,,ESTELE,,,,,38.1595538,-85.7626763,0.147,MONDAY,2016/01/25 20:42:00+00,1542,3PM,2,2,MOTOR VEHICLE,UNKNOWN OR NOT AVAILABLE,93,FEMALE,FATALITY,,CLOUDY,WET,FALSE,ANGLE COLLISION - BOTH VEHICLES GOING STRAIGHT,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE,34
-85.5417232,38.2993652,17498650,LOUISVILLE METRO POLICE DEPT,,,,CHAMBERLAIN,LN,METRO,PRIMARY COLLECTOR,0,KY1447,WESTPORT,,,,,38.2993652,-85.5417232,2.112,MONDAY,2016/01/26 00:46:00+00,1946,7PM,2,1,PEDESTRIAN,UNKNOWN OR NOT AVAILABLE,44,MALE,SUSPECTED SERIOUS INJURY,,CLOUDY,DRY,FALSE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,FALSE,35
-85.7372134,38.1897281,17523909,LOUISVILLE METRO POLICE DEPT,I 0264,,,I-264,,FEDERAL,INTERSTATE,0,,,,,,,38.1897281,-85.7372134,11.66,WEDNESDAY,2016/01/27 12:24:00+00,724,7AM,1,1,MOTOR VEHICLE,UNKNOWN OR NOT AVAILABLE,36,FEMALE,SUSPECTED SERIOUS INJURY,,CLOUDY,DRY,FALSE,OTHER COLLISIONS ON SHOULDER,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE,36
-85.6145797,38.1644758,17526102,LOUISVILLE METRO POLICE DEPT,,,S,WATTERSON,TRL,METRO,PRIMARY COLLECTOR,0,,,,STONE BLUFF,KY1747,HURSTBOURNE PKY,38.1644758,-85.6145797,1.294,WEDNESDAY,2016/01/27 20:05:00+00,1505,3PM,1,1,MOTOR VEHICLE,UNKNOWN OR NOT AVAILABLE,15,MALE,SUSPECTED SERIOUS INJURY,,CLOUDY,DRY,FALSE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,,,FALSE,37
-85.6145797,38.1644758,17526102,LOUISVILLE METRO POLICE DEPT,,,S,WATTERSON,TRL,METRO,PRIMARY COLLECTOR,0,,,,STONE BLUFF,KY1747,HURSTBOURNE PKY,38.1644758,-85.6145797,1.294,WEDNESDAY,2016/01/27 20:05:00+00,1505,3PM,1,1,MOTOR VEHICLE,UNKNOWN OR NOT AVAILABLE,16,MALE,SUSPECTED SERIOUS INJURY,,CLOUDY,DRY,FALSE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,,,FALSE,38
-85.6684857,38.2925179,17533655,LOUISVILLE METRO POLICE DEPT,I 0071,,,I-71,,FEDERAL,INTERSTATE,0,,,,,,,38.2925179,-85.6684857,3.8,THURSDAY,2016/01/28 15:51:00+00,1051,10AM,2,2,MOTORCYCLE,UNKNOWN OR NOT AVAILABLE,25,MALE,SUSPECTED SERIOUS INJURY,,CLEAR,DRY,FALSE,ANGLE COLLISION - BOTH VEHICLES GOING STRAIGHT,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE,39
-85.6799737,38.2197702,17533005,LOUISVILLE METRO POLICE DEPT,US0031E,,,BARDSTOWN,RD,STATE,MAJOR ARTERIAL,0,,EMERSON,,,,,38.2197702,-85.6799737,12.786,THURSDAY,2016/01/28 19:25:00+00,1425,2PM,2,2,MOTORCYCLE,UNKNOWN OR NOT AVAILABLE,32,MALE,SUSPECTED SERIOUS INJURY,,CLEAR,DRY,FALSE,OPPOSING LEFT TURN,OPPOSING LEFT TURN,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE,40
-85.7418587,38.2429796,17533013,LOUISVILLE METRO POLICE DEPT,,,S,CLAY,ST,METRO,LOCAL,0,,JACOB,,,,,38.2429796,-85.7418587,0.822,THURSDAY,2016/01/28 20:28:00+00,1528,3PM,1,1,MOTOR VEHICLE,UNKNOWN OR NOT AVAILABLE,43,FEMALE,SUSPECTED SERIOUS INJURY,,CLEAR,DRY,FALSE,RAN OFF ROADWAY (1 VEHICLE WITH/EARTH EMBANKMENT/DITCH),SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE,41
-85.7514929,38.2263367,17515418,LOUISVILLE METRO POLICE DEPT,I 0065,,,I-65,,FEDERAL,INTERSTATE,0,,,,,,,38.2263367,-85.7514929,133.893,SATURDAY,2016/01/30 13:22:00+00,822,8AM,1,1,MOTORCYCLE,UNKNOWN OR NOT AVAILABLE,50,MALE,SUSPECTED SERIOUS INJURY,,CLEAR,DRY,FALSE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,FALSE,42
-85.8932235,38.1646409,17515717,LOUISVILLE METRO POLICE DEPT,KY1230,,,CANE RUN,RD,STATE,PRIMARY COLLECTOR,0,,,,PORT,,RIVERPORT,38.1646409,-85.8932235,5.97,SATURDAY,2016/01/30 20:30:00+00,1530,3PM,1,1,MOTORCYCLE,UNKNOWN OR NOT AVAILABLE,66,MALE,SUSPECTED SERIOUS INJURY,,CLEAR,DRY,FALSE,OVERTURNED IN ROADWAY,SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,,,FALSE,43
-85.6285196,38.1820327,17515988,LOUISVILLE METRO POLICE DEPT,US0031E,,,BARDSTOWN,RD,STATE,MAJOR ARTERIAL,0,,,,BANNON CROSSINGS,,ROXANN,38.1820327,-85.6285196,8.803,SATURDAY,2016/01/31 02:09:00+00,2109,9PM,1,1,MOTOR VEHICLE,UNKNOWN OR NOT AVAILABLE,40,FEMALE,SUSPECTED SERIOUS INJURY,,CLEAR,DRY,FALSE,OTHER COLLISIONS ON SHOULDER,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE,44
-85.6801372,38.2197135,17527089,LOUISVILLE METRO POLICE DEPT,,2184,,EMERSON,AVE,STRATHMOOR MANOR,LOCAL,0,,,,,,,38.2197135,-85.6801372,0.327,SUNDAY,2016/01/31 11:08:00+00,608,6AM,1,0,PEDESTRIAN,UNKNOWN OR NOT AVAILABLE,44,FEMALE,SUSPECTED SERIOUS INJURY,,CLEAR,DRY,FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,FALSE,45
-85.767793,38.2415616,23105986,LOUISVILLE METRO POLICE DEPT,,,S,9TH,ST,METRO,MAJOR ARTERIAL,0,,,,BRECKINRIDGE,,KENTUCKY,38.2415616,-85.767793,0.37,SUNDAY,2016/02/01 02:47:00+00,2147,9PM,2,1,PEDESTRIAN,UNKNOWN OR NOT AVAILABLE,51,MALE,FATALITY,,CLOUDY,DRY,TRUE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,FALSE,46
-85.613094,38.2536069,17529669,ST. MATTHEWS POLICE DEPARTMENT,KY0146,,,NEW LA GRANGE,RD,STATE,MINOR ARTERIAL,0,,FOREST,,,,,38.2536069,-85.613094,0.38,TUESDAY,2016/02/02 12:36:00+00,736,7AM,2,2,MOTOR VEHICLE,UNKNOWN OR NOT AVAILABLE,27,FEMALE,SUSPECTED SERIOUS INJURY,,RAINING,WET,FALSE,ANGLE COLLISION - BOTH VEHICLES GOING STRAIGHT,ANGLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,FALSE,47
